date,home_team,away_team,time_utc,arena
2025-10-07,Florida Panthers,Chicago Blackhawks,2025-10-07T21:00:00Z,Amerant Bank Arena
2025-10-07,New York Rangers,Pittsburgh Penguins,2025-10-08T00:00:00Z,Madison Square Garden
2025-10-07,Los Angeles Kings,Colorado Avalanche,2025-10-08T02:30:00Z,Crypto.com Arena
2025-10-08,Toronto Maple Leafs,Montréal Canadiens,2025-10-08T23:00:00Z,Scotiabank Arena
2025-10-08,Washington Capitals,Boston Bruins,2025-10-08T23:30:00Z,Capital One Arena
2025-10-08,Edmonton Oilers,Calgary Flames,2025-10-09T02:00:00Z,Rogers Place
2025-10-08,Vegas Golden Knights,Los Angeles Kings,2025-10-09T02:00:00Z,T-Mobile Arena
2025-10-09,Boston Bruins,Chicago Blackhawks,2025-10-09T23:00:00Z,TD Garden
2025-10-09,Buffalo Sabres,New York Rangers,2025-10-09T23:00:00Z,KeyBank Center
2025-10-09,Detroit Red Wings,Montréal Canadiens,2025-10-09T23:00:00Z,Little Caesars Arena
2025-10-09,Tampa Bay Lightning,Ottawa Senators,2025-10-09T23:00:00Z,Benchmark International Arena
2025-10-09,Florida Panthers,Philadelphia Flyers,2025-10-09T23:00:00Z,Amerant Bank Arena
2025-10-09,Pittsburgh Penguins,New York Islanders,2025-10-09T23:00:00Z,PPG Paints Arena
2025-10-09,Carolina Hurricanes,New Jersey Devils,2025-10-09T23:30:00Z,Lenovo Center
2025-10-09,St. Louis Blues,Minnesota Wild,2025-10-10T00:00:00Z,Enterprise Center
2025-10-09,Nashville Predators,Columbus Blue Jackets,2025-10-10T00:00:00Z,Bridgestone Arena
2025-10-09,Winnipeg Jets,Dallas Stars,2025-10-10T00:00:00Z,Canada Life Centre
2025-10-09,Colorado Avalanche,Utah Mammoth,2025-10-10T01:00:00Z,Ball Arena
2025-10-09,Vancouver Canucks,Calgary Flames,2025-10-10T02:00:00Z,Rogers Arena
2025-10-09,San Jose Sharks,Vegas Golden Knights,2025-10-10T02:00:00Z,SAP Center at San Jose
2025-10-09,Seattle Kraken,Anaheim Ducks,2025-10-10T02:00:00Z,Climate Pledge Arena
2025-10-11,Winnipeg Jets,Los Angeles Kings,2025-10-11T17:30:00Z,Canada Life Centre
2025-10-11,Calgary Flames,St. Louis Blues,2025-10-11T20:00:00Z,Scotiabank Saddledome
2025-10-11,Boston Bruins,Buffalo Sabres,2025-10-11T23:00:00Z,TD Garden
2025-10-11,Detroit Red Wings,Toronto Maple Leafs,2025-10-11T23:00:00Z,Little Caesars Arena
2025-10-11,Tampa Bay Lightning,New Jersey Devils,2025-10-11T23:00:00Z,Benchmark International Arena
2025-10-11,Florida Panthers,Ottawa Senators,2025-10-11T23:00:00Z,Amerant Bank Arena
2025-10-11,New York Islanders,Washington Capitals,2025-10-11T23:00:00Z,UBS Arena
2025-10-11,Pittsburgh Penguins,New York Rangers,2025-10-11T23:00:00Z,PPG Paints Arena
2025-10-11,Carolina Hurricanes,Philadelphia Flyers,2025-10-11T23:00:00Z,Lenovo Center
2025-10-11,Chicago Blackhawks,Montréal Canadiens,2025-10-11T23:00:00Z,United Center
2025-10-11,Nashville Predators,Utah Mammoth,2025-10-12T00:00:00Z,Bridgestone Arena
2025-10-11,Minnesota Wild,Columbus Blue Jackets,2025-10-12T00:00:00Z,Grand Casino Arena
2025-10-11,Colorado Avalanche,Dallas Stars,2025-10-12T01:00:00Z,Ball Arena
2025-10-11,Edmonton Oilers,Vancouver Canucks,2025-10-12T02:00:00Z,Rogers Place
2025-10-11,San Jose Sharks,Anaheim Ducks,2025-10-12T02:00:00Z,SAP Center at San Jose
2025-10-11,Seattle Kraken,Vegas Golden Knights,2025-10-12T02:00:00Z,Climate Pledge Arena
2025-10-12,New York Rangers,Washington Capitals,2025-10-12T23:00:00Z,Madison Square Garden
2025-10-13,Buffalo Sabres,Colorado Avalanche,2025-10-13T16:30:00Z,KeyBank Center
2025-10-13,Boston Bruins,Tampa Bay Lightning,2025-10-13T17:00:00Z,TD Garden
2025-10-13,Ottawa Senators,Nashville Predators,2025-10-13T17:00:00Z,Canadian Tire Centre
2025-10-13,New York Islanders,Winnipeg Jets,2025-10-13T17:00:00Z,UBS Arena
2025-10-13,Toronto Maple Leafs,Detroit Red Wings,2025-10-13T18:00:00Z,Scotiabank Arena
2025-10-13,Philadelphia Flyers,Florida Panthers,2025-10-13T23:00:00Z,Xfinity Mobile Arena
2025-10-13,Columbus Blue Jackets,New Jersey Devils,2025-10-13T23:00:00Z,Nationwide Arena
2025-10-13,Vancouver Canucks,St. Louis Blues,2025-10-13T23:30:00Z,Rogers Arena
2025-10-13,Minnesota Wild,Los Angeles Kings,2025-10-14T00:00:00Z,Grand Casino Arena
2025-10-13,Chicago Blackhawks,Utah Mammoth,2025-10-14T00:30:00Z,United Center
2025-10-14,Toronto Maple Leafs,Nashville Predators,2025-10-14T23:00:00Z,Scotiabank Arena
2025-10-14,Montréal Canadiens,Seattle Kraken,2025-10-14T23:00:00Z,Centre Bell
2025-10-14,New York Rangers,Edmonton Oilers,2025-10-14T23:00:00Z,Madison Square Garden
2025-10-14,Washington Capitals,Tampa Bay Lightning,2025-10-14T23:00:00Z,Capital One Arena
2025-10-14,Calgary Flames,Vegas Golden Knights,2025-10-15T01:00:00Z,Scotiabank Saddledome
2025-10-14,Dallas Stars,Minnesota Wild,2025-10-15T01:30:00Z,American Airlines Center
2025-10-14,San Jose Sharks,Carolina Hurricanes,2025-10-15T02:00:00Z,SAP Center at San Jose
2025-10-14,Anaheim Ducks,Pittsburgh Penguins,2025-10-15T02:30:00Z,Honda Center
2025-10-15,Buffalo Sabres,Ottawa Senators,2025-10-15T23:00:00Z,KeyBank Center
2025-10-15,Detroit Red Wings,Florida Panthers,2025-10-15T23:00:00Z,Little Caesars Arena
2025-10-15,St. Louis Blues,Chicago Blackhawks,2025-10-16T01:30:00Z,Enterprise Center
2025-10-15,Utah Mammoth,Calgary Flames,2025-10-16T01:30:00Z,Delta Center
2025-10-16,Toronto Maple Leafs,New York Rangers,2025-10-16T23:00:00Z,Scotiabank Arena
2025-10-16,Montréal Canadiens,Nashville Predators,2025-10-16T23:00:00Z,Centre Bell
2025-10-16,Ottawa Senators,Seattle Kraken,2025-10-16T23:00:00Z,Canadian Tire Centre
2025-10-16,New Jersey Devils,Florida Panthers,2025-10-16T23:00:00Z,Prudential Center
2025-10-16,Philadelphia Flyers,Winnipeg Jets,2025-10-16T23:00:00Z,Xfinity Mobile Arena
2025-10-16,Columbus Blue Jackets,Colorado Avalanche,2025-10-16T23:00:00Z,Nationwide Arena
2025-10-16,New York Islanders,Edmonton Oilers,2025-10-16T23:30:00Z,UBS Arena
2025-10-16,Dallas Stars,Vancouver Canucks,2025-10-17T00:00:00Z,American Airlines Center
2025-10-16,Vegas Golden Knights,Boston Bruins,2025-10-17T02:00:00Z,T-Mobile Arena
2025-10-16,Anaheim Ducks,Carolina Hurricanes,2025-10-17T02:00:00Z,Honda Center
2025-10-16,Los Angeles Kings,Pittsburgh Penguins,2025-10-17T02:00:00Z,Crypto.com Arena
2025-10-17,Detroit Red Wings,Tampa Bay Lightning,2025-10-17T23:00:00Z,Little Caesars Arena
2025-10-17,Washington Capitals,Minnesota Wild,2025-10-17T23:00:00Z,Capital One Arena
2025-10-17,Chicago Blackhawks,Vancouver Canucks,2025-10-18T00:30:00Z,United Center
2025-10-17,Utah Mammoth,San Jose Sharks,2025-10-18T01:00:00Z,Delta Center
2025-10-18,Buffalo Sabres,Florida Panthers,2025-10-18T17:00:00Z,KeyBank Center
2025-10-18,Ottawa Senators,New York Islanders,2025-10-18T19:00:00Z,Canadian Tire Centre
2025-10-18,New Jersey Devils,Edmonton Oilers,2025-10-18T19:30:00Z,Prudential Center
2025-10-18,Toronto Maple Leafs,Seattle Kraken,2025-10-18T23:00:00Z,Scotiabank Arena
2025-10-18,Montréal Canadiens,New York Rangers,2025-10-18T23:00:00Z,Centre Bell
2025-10-18,Philadelphia Flyers,Minnesota Wild,2025-10-18T23:00:00Z,Xfinity Mobile Arena
2025-10-18,Columbus Blue Jackets,Tampa Bay Lightning,2025-10-18T23:00:00Z,Nationwide Arena
2025-10-18,St. Louis Blues,Dallas Stars,2025-10-18T23:00:00Z,Enterprise Center
2025-10-18,Winnipeg Jets,Nashville Predators,2025-10-18T23:00:00Z,Canada Life Centre
2025-10-18,Colorado Avalanche,Boston Bruins,2025-10-19T01:00:00Z,Ball Arena
2025-10-18,Los Angeles Kings,Carolina Hurricanes,2025-10-19T01:00:00Z,Crypto.com Arena
2025-10-18,Vegas Golden Knights,Calgary Flames,2025-10-19T02:00:00Z,T-Mobile Arena
2025-10-18,San Jose Sharks,Pittsburgh Penguins,2025-10-19T02:00:00Z,SAP Center at San Jose
2025-10-19,Washington Capitals,Vancouver Canucks,2025-10-19T16:30:00Z,Capital One Arena
2025-10-19,Detroit Red Wings,Edmonton Oilers,2025-10-19T19:00:00Z,Little Caesars Arena
2025-10-19,Chicago Blackhawks,Anaheim Ducks,2025-10-19T23:00:00Z,United Center
2025-10-19,Utah Mammoth,Boston Bruins,2025-10-19T23:00:00Z,Delta Center
2025-10-20,New York Rangers,Minnesota Wild,2025-10-20T23:00:00Z,Madison Square Garden
2025-10-20,Philadelphia Flyers,Seattle Kraken,2025-10-20T23:00:00Z,Xfinity Mobile Arena
2025-10-20,Montréal Canadiens,Buffalo Sabres,2025-10-20T23:30:00Z,Centre Bell
2025-10-20,Calgary Flames,Winnipeg Jets,2025-10-21T01:30:00Z,Scotiabank Saddledome
2025-10-20,Vegas Golden Knights,Carolina Hurricanes,2025-10-21T02:00:00Z,T-Mobile Arena
2025-10-21,Toronto Maple Leafs,New Jersey Devils,2025-10-21T23:00:00Z,Scotiabank Arena
2025-10-21,Ottawa Senators,Edmonton Oilers,2025-10-21T23:00:00Z,Canadian Tire Centre
2025-10-21,New York Islanders,San Jose Sharks,2025-10-21T23:00:00Z,UBS Arena
2025-10-21,Pittsburgh Penguins,Vancouver Canucks,2025-10-21T23:00:00Z,PPG Paints Arena
2025-10-21,Washington Capitals,Seattle Kraken,2025-10-21T23:00:00Z,Capital One Arena
2025-10-21,Boston Bruins,Florida Panthers,2025-10-21T23:30:00Z,TD Garden
2025-10-21,St. Louis Blues,Los Angeles Kings,2025-10-22T00:00:00Z,Enterprise Center
2025-10-21,Nashville Predators,Anaheim Ducks,2025-10-22T00:00:00Z,Bridgestone Arena
2025-10-21,Dallas Stars,Columbus Blue Jackets,2025-10-22T00:00:00Z,American Airlines Center
2025-10-21,Utah Mammoth,Colorado Avalanche,2025-10-22T02:00:00Z,Delta Center
2025-10-22,New Jersey Devils,Minnesota Wild,2025-10-22T23:00:00Z,Prudential Center
2025-10-22,Buffalo Sabres,Detroit Red Wings,2025-10-22T23:30:00Z,KeyBank Center
2025-10-22,Calgary Flames,Montréal Canadiens,2025-10-23T00:30:00Z,Scotiabank Saddledome
2025-10-23,Tampa Bay Lightning,Chicago Blackhawks,2025-10-23T22:45:00Z,Benchmark International Arena
2025-10-23,Boston Bruins,Anaheim Ducks,2025-10-23T23:00:00Z,TD Garden
2025-10-23,Ottawa Senators,Philadelphia Flyers,2025-10-23T23:00:00Z,Canadian Tire Centre
2025-10-23,Florida Panthers,Pittsburgh Penguins,2025-10-23T23:00:00Z,Amerant Bank Arena
2025-10-23,New York Islanders,Detroit Red Wings,2025-10-23T23:00:00Z,UBS Arena
2025-10-23,New York Rangers,San Jose Sharks,2025-10-23T23:00:00Z,Madison Square Garden
2025-10-23,St. Louis Blues,Utah Mammoth,2025-10-24T00:00:00Z,Enterprise Center
2025-10-23,Nashville Predators,Vancouver Canucks,2025-10-24T00:00:00Z,Bridgestone Arena
2025-10-23,Winnipeg Jets,Seattle Kraken,2025-10-24T00:00:00Z,Canada Life Centre
2025-10-23,Dallas Stars,Los Angeles Kings,2025-10-24T01:00:00Z,American Airlines Center
2025-10-23,Colorado Avalanche,Carolina Hurricanes,2025-10-24T01:00:00Z,Ball Arena
2025-10-23,Edmonton Oilers,Montréal Canadiens,2025-10-24T01:00:00Z,Rogers Place
2025-10-24,New Jersey Devils,San Jose Sharks,2025-10-24T23:00:00Z,Prudential Center
2025-10-24,Columbus Blue Jackets,Washington Capitals,2025-10-24T23:00:00Z,Nationwide Arena
2025-10-24,Buffalo Sabres,Toronto Maple Leafs,2025-10-24T23:30:00Z,KeyBank Center
2025-10-24,Winnipeg Jets,Calgary Flames,2025-10-25T00:00:00Z,Canada Life Centre
2025-10-25,Philadelphia Flyers,New York Islanders,2025-10-25T16:30:00Z,Xfinity Mobile Arena
2025-10-25,Boston Bruins,Colorado Avalanche,2025-10-25T19:00:00Z,TD Garden
2025-10-25,Tampa Bay Lightning,Anaheim Ducks,2025-10-25T21:00:00Z,Benchmark International Arena
2025-10-25,Florida Panthers,Vegas Golden Knights,2025-10-25T22:00:00Z,Amerant Bank Arena
2025-10-25,Minnesota Wild,Utah Mammoth,2025-10-25T22:00:00Z,Grand Casino Arena
2025-10-25,Toronto Maple Leafs,Buffalo Sabres,2025-10-25T23:00:00Z,Scotiabank Arena
2025-10-25,Detroit Red Wings,St. Louis Blues,2025-10-25T23:00:00Z,Little Caesars Arena
2025-10-25,Pittsburgh Penguins,Columbus Blue Jackets,2025-10-25T23:00:00Z,PPG Paints Arena
2025-10-25,Washington Capitals,Ottawa Senators,2025-10-25T23:00:00Z,Capital One Arena
2025-10-25,Vancouver Canucks,Montréal Canadiens,2025-10-25T23:00:00Z,Rogers Arena
2025-10-25,Nashville Predators,Los Angeles Kings,2025-10-26T00:00:00Z,Bridgestone Arena
2025-10-25,Dallas Stars,Carolina Hurricanes,2025-10-26T00:00:00Z,American Airlines Center
2025-10-25,Seattle Kraken,Edmonton Oilers,2025-10-26T02:00:00Z,Climate Pledge Arena
2025-10-26,New Jersey Devils,Colorado Avalanche,2025-10-26T17:00:00Z,Prudential Center
2025-10-26,Tampa Bay Lightning,Vegas Golden Knights,2025-10-26T21:00:00Z,Benchmark International Arena
2025-10-26,Minnesota Wild,San Jose Sharks,2025-10-26T22:00:00Z,Grand Casino Arena
2025-10-26,Winnipeg Jets,Utah Mammoth,2025-10-26T22:00:00Z,Canada Life Centre
2025-10-26,Chicago Blackhawks,Los Angeles Kings,2025-10-26T23:00:00Z,United Center
2025-10-26,Nashville Predators,Dallas Stars,2025-10-26T23:00:00Z,Bridgestone Arena
2025-10-26,Calgary Flames,New York Rangers,2025-10-27T00:00:00Z,Scotiabank Saddledome
2025-10-26,Vancouver Canucks,Edmonton Oilers,2025-10-27T02:00:00Z,Rogers Arena
2025-10-27,Pittsburgh Penguins,St. Louis Blues,2025-10-27T23:00:00Z,PPG Paints Arena
2025-10-27,Ottawa Senators,Boston Bruins,2025-10-27T23:30:00Z,Canadian Tire Centre
2025-10-28,Philadelphia Flyers,Pittsburgh Penguins,2025-10-28T22:00:00Z,Xfinity Mobile Arena
2025-10-28,Toronto Maple Leafs,Calgary Flames,2025-10-28T22:15:00Z,Scotiabank Arena
2025-10-28,Carolina Hurricanes,Vegas Golden Knights,2025-10-28T22:30:00Z,Lenovo Center
2025-10-28,Buffalo Sabres,Columbus Blue Jackets,2025-10-28T22:45:00Z,KeyBank Center
2025-10-28,Florida Panthers,Anaheim Ducks,2025-10-28T23:00:00Z,Amerant Bank Arena
2025-10-28,Boston Bruins,New York Islanders,2025-10-28T23:15:00Z,TD Garden
2025-10-28,Nashville Predators,Tampa Bay Lightning,2025-10-28T23:45:00Z,Bridgestone Arena
2025-10-28,Minnesota Wild,Winnipeg Jets,2025-10-29T00:00:00Z,Grand Casino Arena
2025-10-28,St. Louis Blues,Detroit Red Wings,2025-10-29T00:15:00Z,Enterprise Center
2025-10-28,Dallas Stars,Washington Capitals,2025-10-29T00:30:00Z,American Airlines Center
2025-10-28,Chicago Blackhawks,Ottawa Senators,2025-10-29T00:45:00Z,United Center
2025-10-28,Colorado Avalanche,New Jersey Devils,2025-10-29T01:00:00Z,Ball Arena
2025-10-28,Edmonton Oilers,Utah Mammoth,2025-10-29T01:30:00Z,Rogers Place
2025-10-28,Vancouver Canucks,New York Rangers,2025-10-29T02:00:00Z,Rogers Arena
2025-10-28,Seattle Kraken,Montréal Canadiens,2025-10-29T02:30:00Z,Climate Pledge Arena
2025-10-28,San Jose Sharks,Los Angeles Kings,2025-10-29T03:00:00Z,SAP Center at San Jose
2025-10-29,Columbus Blue Jackets,Toronto Maple Leafs,2025-10-29T23:30:00Z,Nationwide Arena
2025-10-30,Boston Bruins,Buffalo Sabres,2025-10-30T23:00:00Z,TD Garden
